,Total,Date,Year,Gender,Domain,Title,MatchID,Name,Score
2118,Walnut Hills 2398,2014-12-10,2014-2015,137,https://eccsports.com/,Eastern Cincinnati Conference,77433,Walnut Hills,2398
2119, Turpin 2143,2014-12-10,2014-2015,137,https://eccsports.com/,Eastern Cincinnati Conference,77433, Turpin,2143
2120,Loveland 2134,2014-12-11,2014-2015,137,https://eccsports.com/,Eastern Cincinnati Conference,79856,Loveland,2134
2121, Withrow 1590,2014-12-11,2014-2015,137,https://eccsports.com/,Eastern Cincinnati Conference,79856, Withrow,1590
2122,Anderson 2556,2014-12-15,2014-2015,137,https://eccsports.com/,Eastern Cincinnati Conference,79851,Anderson,2556
2123, Loveland 2094,2014-12-15,2014-2015,137,https://eccsports.com/,Eastern Cincinnati Conference,79851, Loveland,2094
2124,Glen Este 2541,2014-12-15,2014-2015,137,https://eccsports.com/,Eastern Cincinnati Conference,77975,Glen Este,2541
2125, Kings 2410,2014-12-15,2014-2015,137,https://eccsports.com/,Eastern Cincinnati Conference,77975, Kings,2410
2126,Glen Este 2592,2014-12-16,2014-2015,137,https://eccsports.com/,Eastern Cincinnati Conference,77976,Glen Este,2592
2127, Kings 2156,2014-12-16,2014-2015,137,https://eccsports.com/,Eastern Cincinnati Conference,77976, Kings,2156
